,awardeeName,count
870,"SURGICAL VISION SYSTEMS, INC.",1
869,SUPERIOR NANO LLC,1
484,"JULIA JEAN, LLC",1
479,Inter American University of Puerto Rico San Juan,1
477,Indiana Wesleyan University,1
475,Indiana State University,1
473,"ImageCat, Inc.",1
469,"ISLEX THERAPEUTICS, LLC",1
868,SUPERBLOOM DESIGN,1
861,SUNY College at Purchase,1
860,SUNY College at Plattsburgh,1
858,SUNY College at Oneonta,1
855,SUNY College at Geneseo,1
853,SUNY Adirondack,1
500,"KAPHA BIO, INC.",1
499,KAI TECH LLC,1
454,"ILLUMINANT SURGICAL, INC.",1
453,IIAM CORPORATION,1
900,Simpson College,1
899,"Simonis, Molly C",1
898,Silvis Materials,1
897,"Silver-Gorges, Ian Michael",1
896,"Short, Aidan William",1
895,Shoreline Community College,1
894,"Shaheen, Samuel",1
893,Sesame Workshop,1
887,"Schulz, Aimee J",1
886,"Sarro, Erica",1
879,Salisbury University,1
878,"Saldivar, Jolene Antonette",1
872,SYNTOPA INC.,1
871,SUSTAINABLE MANUFACTURING INNOVATION ALLIANCE CORP.,1
914,South Texas College,1
911,South Central College,1
909,Society of Manufacturing Engineers,1
906,"Smith, Sierra N",1
903,Skidmore College,1
902,"Sisk, Lucinda M",1
468,IRRADIANT SENSING CORPORATION,1
467,IRONSIDES MEDICAL INC,1
466,IONICSCALE LLC,1
463,INTELLISAFE ANALYTICS LLC,1
462,"INSU HEALTH DESIGN, INC.",1
461,"INSIGNA, INC.",1
460,"INNOTECH PRECISION MEDICINE, INC",1
459,"INFORMUTA, INC.",1
458,INERTIAL CORPORATION,1
457,INCUENTRO LLC,1
425,HYPOGENICA LLC,1
424,HYPERION TECHNOLOGIES LLC,1
422,HPLUS INC,1
421,HELIX EARTH TECHNOLOGIES INC,1
451,ICOSA COMPUTING,1
450,ICORIUM ENGINEERING COMPANY,1
449,"Hurtado, Omar",1
448,Human Frontier Science Program,1
447,HudsonAlpha Institute for Biotechnology,1
443,Horizon Research Inc,1
441,Holy Family College,1
440,Hofstra University,1
439,"Hippee, Alaine C",1
438,Highline Community College,1
437,"Heller, Lauren Cranton",1
915,Southern Connecticut State University,1
417,Gustavus Adolphus College,1
416,Gulf of Maine Research Institute,1
414,Great Minds in STEM,1
412,Grand Rapids Community College,1
410,"Graber, Leland Carl",1
409,Governors State University,1
408,Goshen College,1
406,Gonzaga University,1
405,Goeppert LLC,1
932,State University of New York College of Technology at Canton,1
931,Startle Innovation LLC,1
929,St. John Fisher College,1
923,Southwestern University,1
920,Southern University New Orleans,1
432,"Harraz, Deiaa",1
430,"Hankel, Camille",1
958,TUNABOTICS LLC,1
957,TRIANGLE ENVIRONMENTAL HEALTH INITIATIVE LLC,1
956,"TORRE SPACE AND POWER SYSTEMS, L.L.C.",1
955,TMT INTERNATIONAL OBSERVATORY LLC,1
954,"TISSUEFORM, INC.",1
953,THERMOCAP LABORATORIES INC,1
950,"TERRAFERMA FOODS, INC.",1
949,TERRA WATTS INC.,1
947,TAUMAT LLC,1
945,TALK COACHES INC,1
944,"T33 DENTAL, INC.",1
940,"Sussman, Ethan W",1
939,"Sukhdeo, Raymond",1
938,Suffolk University,1
937,Suffolk Community College,1
935,Stevenson University,1
980,The College Board,1
979,The Children's Hospital of Philadelphia,1
976,Texas Tech University Health Science Center,1
973,Texas Southern University,1
969,Texas A&M University - Central Texas,1
967,Texas A&M Research Foundation,1
404,Gloucester Marine Genomics Institute,1
403,Glendale Community College,1
402,"Girouard-Hallam, Lauren Nicole",1
401,"Giles, Sarah Marie",1
399,Germanna Community College,1
394,Georgia Gwinnett College,1
393,Georgia College,1
389,"Gaynor, Michelle L",1
964,Tennessee Wesleyan College,1
959,TURBO POWER SEMICONDUCTOR INC.,1
371,Front Range Community College,1
368,Franklin W. Olin College of Engineering,1
367,"Fowler, Joshua Clark",1
359,Florida Gulf Coast University,1
388,"Galt, Dylan",1
386,"GRID MODERNIZATION SOLUTIONS, L.L.C.",1
385,"GRAYSKYTECH, INC",1
384,GRAPHENETX INC,1
383,"GRANTED ADVISORS, LLC",1
382,GMTO CORPORATION,1
381,GLOW THERAPEUTICS INC.,1
380,GIWOTECH INC.,1
378,GEMINATIO INC.,1
377,GELASTOMERICS LLC,1
376,GALVANIX INC.,1
374,"GAIA AI, INC",1
1006,Trivium Consulting,1
1004,Trinity College,1
1003,Trinity Christian College,1
1002,Trident Technical College,1
1000,"Tovar Mendoza, Guadalupe",1
999,Tougaloo College,1
998,"Torkelson, Gregory Quigley",1
997,"Tiptek, LLC",1
996,Tides Center,1
995,Three3,1
994,Thomas Jefferson University,1
993,The Water Institute of the Gulf,1
990,The University of Louisiana at Monroe,1
983,The New York City Foundation for Computer Science Education,1
982,The J. David Gladstone Institutes,1
372,Fullerton College,1
1016,UNIVERSITY OF PUERTO RICO AT CAROLINA,1
1015,UNITED STATES COAST GUARD ACADEMY SPONSORED PROGRAMS AND RESEARC,1
1014,"ULTINAT, INC.",1
355,Field Museum of Natural History,1
350,"Farrant, Damien Nākoa",1
349,Farallon Institute for Advanced Ecosystem Research,1
348,Fairleigh Dickinson University,1
347,FRONTLINE BIOTECHNOLOGIES INC.,1
345,"FOURTH POWER, INC.",1
344,"FORAGR MEDICINES, INC",1
343,FLUID REALITY INCORPORATED,1
342,"FLORIDA ASSOCIATION FOR NANOBIOTECHNOLOGY, INC",1
341,FITOTO TECHNOLOGIES INC.,1
1012,Turtle Mountain Community College,1
1011,"Tuninetti, Amaro",1
1007,Troy University,1
309,ENCAPSULATE LLC,1
1039,"University of California, Office of the President, Oakland",1
1036,University of Arkansas Agricultural Experiment Station,1
340,FIELD PROPULSION TECHNONOGIES INC.,1
338,FA7001 USAFA OFC OF RSRCH USAFA DF,1
337,Evergreen Valley College,1
336,Erie Community College,1
335,"Engineering Conferences International, Inc.",1
334,Engineering Biology Research Consortium,1
330,Emerson College,1
328,"Elsevier, Inc.",1
327,Elon University,1
326,Elizabethtown College,1
1023,University Corporation at Monterey Bay,1
1021,United Tribes Technical College,1
1018,UTAH TECH UNIVERSITY,1
301,E-ROOTREE LLC,1
297,Drake University,1
296,"Doolin, Margaret Louise",1
295,"Donohue, Mariah E",1
293,Dominican University,1
324,Elaine P. Nunez Community College,1
322,Edmonds Community College,1
321,Eckerd College,1
320,Eastern Washington University,1
318,Eastern Mennonite University,1
316,"Earl, Alexis D",1
315,"EXIGENT SOLUTIONS, INC.",1
314,"EVOLVE GENOMIX, INC.",1
313,"ENGINEERING FOR US ALL, INC.",1
312,ENDURA THERAPEUTICS INC,1
310,ENCORE CO2 LLC,1
264,"Crisostomo, Steven",1
262,"Creedon, Ryan Patrick",1
1073,University of Indianapolis,1
1071,University of Illinois at Springfield,1
292,Documentary Educational Resources,1
291,Dine College,1
287,Denver Museum of Nature and Science,1
286,Delgado Community College,1
281,"Davenport, Elizabeth Sarah",1
278,"Daly, Kiara Andrea",1
1054,University of Colorado at Colorado Springs,1
308,EMODE PHOTONIX LLC,1
306,"ELATEQ, INC.",1
305,EDNA INC.,1
304,ECHO MIND AI CORP.,1
303,"EASCRA BIOTECH, INC.",1
257,"Cooper, Olivia",1
255,Connecticut College,1
254,Conference Board Math Sciences,1
250,Computational Physics Inc,1
276,Daemen College,1
275,"DYNOCARDIA, INC.",1
274,"DUET BIOSYSTEMS, INC",1
273,"DRIVE THERAPEUTICS, L.L.C.",1
272,DOCARE LLC,1
271,DIRECT KINETIC SOLUTIONS LLC,1
270,"DIGITAL COPILOT, INC.",1
269,"DIFFRACT TECHNOLOGY, INC.",1
268,DESIGNER ECOSYSTEMS LLC,1
267,DELAQUA PHARMACEUTICALS INC,1
266,DAYZERO WATER LLC,1
265,DATA ELEVATE LLC,1
222,"Ciesla, Jessica H",1
221,Christopher Newport University,1
220,"Chong, Trisha N",1
219,Children's Hospital Los Angeles,1
218,Child Trends Inc,1
217,Chico State Enterprises,1
214,Chemeketa Community College,1
213,Chatham College,1
1083,University of Maryland at Baltimore,1
244,College of the Menominee Nation,1
241,College of William & Mary Virginia Institute of Marine Science,1
240,College of Saint Benedict,1
233,Cleveland Museum of Natural History,1
232,Cleveland Clinic Foundation,1
230,"Clemente, Seanne",1
260,Corning Community College,1
176,"Cagan, David Abraham",1
175,CUNY York College,1
171,CUNY Hostos Community College,1
165,"CRYSTAL SONIC, INC.",1
193,Campbellsville University,1
191,Calvin University,1
185,California State University San Marcos Corporation,1
182,California Lutheran University,1
1108,University of North Alabama,1
1107,University of New Orleans,1
212,Charleston Southern Univ,1
206,Central Michigan University,1
204,Center for Strategic and International Studies Inc,1
202,"Caspi, Tal",1
228,"Clark, Meaghan I",1
224,Claflin University,1
161,CPR THERAPEUTICS INC.,1
160,CORLENS INC.,1
159,CORE BIOTHERAPEUTICS INC,1
157,"COMMUNICATION SERVICE FOR THE DEAF, INC.",1
156,"COHERENT PHOTONICS, LIMITED LIABILITY COMPANY",1
153,"CICADEA BIOTECH, LLC",1
152,CHROMATIR TECHNOLOGIES LLC,1
151,"CENTER ON RURAL INNOVATION, INC",1
150,CELLECHO INC,1
149,"CAST, Inc.",1
1121,University of Oklahoma Health Sciences Center,1
1113,University of North Carolina at Pembroke,1
1110,University of North Carolina at Asheville,1
180,California Association for Research in Astronomy,1
179,California Academy of Sciences,1
178,"Calamari, Emily",1
122,"Black, Adam",1
121,Black Hills State University,1
120,"BioQUEST Curriculum Consortium, Inc",1
118,"Bhatnagar, Tejasi",1
117,Beth Israel Deaconess Medical Center,1
148,CASCADE BIOCATALYSTS INC.,1
147,CAMBRIDGE TERAHERTZ INC,1
146,"CALI'S BOOKS, LLC",1
144,"Burcroff, Amanda",1
138,"Bristol, Katie",1
137,"Bright, Jane C",1
1136,University of San Francisco,1
1128,University of Puerto Rico Medical Sciences Campus,1
1126,University of Portland,1
164,CRYPTO TUTORS LLC,1
162,CROOKES RESEARCH LLC,1
1169,University of Wisconsin-Stout,1
1168,University of Wisconsin-Oshkosh,1
1164,University of West Georgia,1
115,Berkeley Geochronology Center,1
114,"Bergey, Claire Augusta",1
112,Benedictine University,1
111,Benedict College,1
110,Bemidji State University,1
108,Beckman Research Institute City of Hope,1
106,Baylor College of Medicine,1
102,"Barkley, Grant",1
101,Bard College,1
1149,University of Texas Southwestern Medical Center,1
1148,University of Texas Medical Branch at Galveston,1
1145,University of Tampa,1
128,"Borowsky, Alexander Thomas",1
1180,Valparaiso University,1
1179,VIVOSPHERE LLC,1
1178,"VITIDORE, INC.",1
1177,"VICTORY OVER CARBON, INC.",1
1174,Urban Institute,1
99,Babson College,1
97,"BRIGHTLIGHT PHOTONICS, INC",1
96,BRIDGEWATER STATE UNIVERSITY,1
95,BLUESTEM BIOSCIENCES INC,1
94,BIRED IMAGING INC,1
93,"BIRCH BIOSCIENCES, LLC",1
92,BIOIMAGINIX LLC,1
91,BIODYNAMIK,1
90,BIODEVEK INC,1
89,BEAMFEED LLC,1
86,Augustana College,1
68,"Anele, Anuoluwapo O",1
67,"Anderson, Nolan Thomas",1
63,American Society For Engineering Education,1
62,American Samoa Community College,1
61,American Psychological Assoc,1
60,American Physical Society,1
58,American Mathematical Society,1
82,Atomnaut Inc.,1
81,Atlantic Cape Community College,1
80,"Association of Universities for Research in Astronomy, Inc.",1
79,Association of Science-Technology Centers,1
76,Arkansas Tech University,1
75,Arkansas State University Main Campus,1
70,Antelope Valley College,1
69,Anne Arundel Community College,1
1183,Vanderbilt University Medical Center,1
1221,William Paterson University,1
1,A CUBED DESIGN LLC,1
2,AALMV INC.,1
1241,Yukon River Inter-Tribal Watershed Council,1
1240,Youngstown State University,1
3,"ABSCO THERAPEUTICS, INC.",1
1238,"Yap-Chiongco, Meghan K",1
4,"ABSTRACTIVE HEALTH, INC.",1
1212,Western Colorado University,1
35,Adler Planetarium,1
33,"Ackerman, Katherine Louise",1
30,AXPRO SEMI,1
29,AUXILIUM HEALTH INC,1
28,ATRILITY MEDICAL LLC,1
27,ASTERION AI INC.,1
26,ASTEK DIAGNOSTICS LLC,1
674,National Collegiate Inventors and Innovators Alliance,1
673,National Center for Genome Resources,1
670,"Nakashima, Whitney",1
667,NUCLEON POWER INC,1
666,"NOVOZYMES, INC",1
665,"NOVINEER, INC.",1
663,NOVATECH INNOVATIONS LLC,1
662,NJEDge.Net,1
661,NEXUMA L.L.C.,1
1236,"Yakir, Oren Shimon",1
1235,"YEBOAH, AMY",1
1234,"Xu, Cong",1
1232,XN HEALTH INC.,1
1231,XHEME INC.,1
1225,"Woo, Katharine Huiwen",1
1224,Winthrop University,1
