,awardeeName,count
1060,University of Denver,8
1047,University of California-San Francisco,8
183,California Polytechnic State University Foundation,8
1062,University of Georgia,8
229,Clarkson University,7
1229,Wright State University,7
618,Miami University,7
71,Appalachian State University,7
1194,Wake Forest University,7
1024,University Enterprises Corporation at CSUSB,7
1013,Tuskegee University,7
1031,University of Alaska Anchorage Campus,7
317,East Carolina University,7
882,San Jose State University Foundation,7
444,Howard University,7
471,Idaho State University,7
841,SETI Institute,7
828,Rutgers University Newark,7
803,Regents of the University of Michigan - Flint,7
211,Chapman University,7
972,Texas Christian University,7
285,Delaware State University,7
1068,University of Houston - Clear Lake,7
125,Board of Trustees of Illinois State University,7
119,Bigelow Laboratory for Ocean Sciences,7
802,Regents of the University of Michigan - Dearborn,6
556,Louisiana Tech University,6
675,National Opinion Research Center,6
690,New York Institute of Technology,6
54,American Geophysical Union,6
78,"Associated Universities, Inc.",6
1188,Virginia State University,6
736,Oregon Health & Science University,6
1223,Winston-Salem State University,6
234,Cleveland State University,6
142,Bryn Mawr College,6
436,Hawaii Pacific University,6
1146,University of Tennessee Chattanooga,6
132,Bowling Green State University,6
916,Southern Illinois University at Carbondale,6
884,Santa Clara University,6
1089,"University of Massachusetts, Dartmouth",6
874,Saint John's University,6
1081,University of Maryland Center for Environmental Sciences,6
488,James Madison University,6
387,Gallaudet University,6
965,Texas A&M AgriLife Research,6
166,CSU Fullerton Auxiliary Services Corporation,6
172,CUNY Hunter College,6
1097,University of Missouri-Saint Louis,6
1215,Western Washington University,6
195,Carleton College,5
227,Clark University,5
847,SPACE SCIENCE INSTITUTE,5
730,Oberlin College,5
42,Alabama State University,5
413,Grand Valley State University,5
145,CAL POLY HUMBOLDT SPONSORED PROGRAMS FOUNDATION,5
942,Swarthmore College,5
415,Grinnell College,5
143,Bucknell University,5
294,Donald Danforth Plant Science Center,5
177,"Cal Poly Pomona Foundation, Inc.",5
251,Computing Research Association,5
1092,University of Minnesota Duluth,5
1088,University of Massachusetts Medical School,5
1116,University of North Florida,5
1139,University of South Dakota Main Campus,5
988,"The University Corporation, Northridge",5
908,Smithsonian Institution Astrophysical Observatory,5
904,Smith College,5
862,SUNY College of Environmental Science and Forestry,5
1206,Wesleyan University,5
