research_area,Total_Funding,Avg_Funding,Project_Count,Median_Funding,Title_Count,Funding_Percentage
cancer / clinical / crcwm,37264924.0,1620214.09,23,1580000.0,23,50.72
ccop / cancer / community,11716654.0,616666.0,19,749588.0,19,15.95
data / delirium / woman,9076522.0,378188.42,24,231022.0,24,12.35
gbm / metabolic / tumor,4300100.0,307150.0,14,328502.0,14,5.85
bladder / uab / cure,4119294.0,179099.74,23,129464.0,23,5.61
image / organ / variation,3180752.0,265062.67,12,216361.5,12,4.33
cdi / difficile / antibiotic,2386595.0,477319.0,5,486595.0,5,3.25
uitn / protocol / phase,1426314.0,356578.5,4,335618.5,4,1.94
